threshold,precision,recall,f1
0.05,0.15105008077544427,1.0,0.2624561403508772
0.055,0.15203252032520326,1.0,0.2639378969654199
0.06,0.15290269828291086,1.0,0.2652482269503546
0.065,0.1542904290429043,1.0,0.2673338098641887
0.07,0.15422885572139303,0.9946524064171123,0.26704953338119164
0.075,0.1546134663341646,0.9946524064171123,0.26762589928057556
0.08,0.15590947191953058,0.9946524064171123,0.2695652173913043
0.08499999999999999,0.15656565656565657,0.9946524064171123,0.2705454545454546
0.09,0.15749364944961897,0.9946524064171123,0.27192982456140347
0.095,0.15843270868824533,0.9946524064171123,0.27332843497428366
0.09999999999999999,0.15748709122203097,0.9786096256684492,0.2713120830244626
0.105,0.15871639202081528,0.9786096256684492,0.27313432835820894
0.10999999999999999,0.15766550522648085,0.9679144385026738,0.2711610486891386
0.11499999999999999,0.15821678321678323,0.9679144385026738,0.2719759579263712
0.12,0.15891132572431957,0.9679144385026738,0.2730015082956259
0.12499999999999999,0.15943312666076173,0.9625668449197861,0.2735562310030395
0.13,0.16028495102404275,0.9625668449197861,0.2748091603053435
0.135,0.16053811659192826,0.9572192513368984,0.27496159754224275
0.13999999999999999,0.16140667267808836,0.9572192513368984,0.2762345679012346
0.145,0.1613780598368087,0.9518716577540107,0.275968992248062
0.14999999999999997,0.16120218579234974,0.946524064171123,0.27548638132295716
0.15499999999999997,0.16164383561643836,0.946524064171123,0.2761310452418097
0.15999999999999998,0.16069788797061524,0.9358288770053476,0.2742946708463949
0.16499999999999998,0.16233766233766234,0.9358288770053476,0.27667984189723327
0.16999999999999998,0.16294227188081936,0.9358288770053476,0.27755749405233937
0.175,0.16399622997172478,0.93048128342246,0.27884615384615385
0.18,0.16396568160152525,0.9197860962566845,0.2783171521035599
0.185,0.16538461538461538,0.9197860962566845,0.280358598207009
0.19,0.16666666666666666,0.9197860962566845,0.28219852337981954
0.195,0.1681329423264907,0.9197860962566845,0.28429752066115704
0.19999999999999996,0.16881827209533268,0.9090909090909091,0.2847571189279732
0.20499999999999996,0.17017017017017017,0.9090909090909091,0.28667790893760536
0.20999999999999996,0.17002012072434608,0.9037433155080213,0.28619813717188824
0.21499999999999997,0.171225937183384,0.9037433155080213,0.2879045996592845
0.21999999999999997,0.17244897959183675,0.9037433155080213,0.28963153384747214
0.22499999999999998,0.1735966735966736,0.893048128342246,0.2906875543951262
0.22999999999999998,0.17473684210526316,0.8877005347593583,0.29199648197009676
0.235,0.1744186046511628,0.8823529411764706,0.2912621359223301
0.24,0.1774193548387097,0.8823529411764706,0.2954341987466428
0.245,0.17993456924754633,0.8823529411764706,0.29891304347826086
0.24999999999999994,0.18201997780244172,0.8770053475935828,0.30147058823529416
0.25499999999999995,0.18468468468468469,0.8770053475935828,0.3051162790697674
0.25999999999999995,0.18586088939566706,0.8716577540106952,0.30639097744360905
0.26499999999999996,0.1861271676300578,0.8609625668449198,0.3060836501901141
0.26999999999999996,0.18691588785046728,0.8556149732620321,0.3068072866730585
0.27499999999999997,0.1871275327771156,0.839572192513369,0.3060428849902534
0.27999999999999997,0.18787878787878787,0.8288770053475936,0.30632411067193677
0.285,0.18988902589395806,0.8235294117647058,0.30861723446893785
0.29,0.1927409261576971,0.8235294117647058,0.3123732251521298
0.295,0.194125159642401,0.8128342245989305,0.3134020618556701
0.3,0.1974025974025974,0.8128342245989305,0.31765935214211083
0.30499999999999994,0.19735099337748344,0.7967914438502673,0.3163481953290871
0.30999999999999994,0.20027247956403268,0.786096256684492,0.31921824104234525
0.31499999999999995,0.2024793388429752,0.786096256684492,0.32201533406352684
0.31999999999999995,0.2039381153305204,0.7754010695187166,0.32293986636971045
0.32499999999999996,0.20719424460431654,0.7700534759358288,0.32653061224489793
0.32999999999999996,0.21029411764705883,0.7647058823529411,0.32987312572087657
0.33499999999999996,0.20958083832335328,0.7486631016042781,0.32748538011695905
0.33999999999999997,0.20980091883614088,0.732620320855615,0.3261904761904762
0.3449999999999999,0.21677215189873417,0.732620320855615,0.33455433455433453
0.3499999999999999,0.21839080459770116,0.7112299465240641,0.3341708542713568
0.3549999999999999,0.22203672787979967,0.7112299465240641,0.33842239185750633
0.35999999999999993,0.22413793103448276,0.6951871657754011,0.3389830508474576
0.36499999999999994,0.22872340425531915,0.6898395721925134,0.3435419440745673
0.36999999999999994,0.22950819672131148,0.6737967914438503,0.3423913043478261
0.37499999999999994,0.23048327137546468,0.6631016042780749,0.34206896551724136
0.37999999999999995,0.23163841807909605,0.6577540106951871,0.34261838440111425
0.38499999999999995,0.23196881091617932,0.6363636363636364,0.3399999999999999
0.38999999999999996,0.23493975903614459,0.6256684491978609,0.3416058394160584
0.39499999999999996,0.2402464065708419,0.6256684491978609,0.34718100890207715
0.3999999999999999,0.2425531914893617,0.6096256684491979,0.3470319634703196
0.4049999999999999,0.252212389380531,0.6096256684491979,0.3568075117370892
0.4099999999999999,0.25733634311512416,0.6096256684491979,0.3619047619047619
0.4149999999999999,0.26697892271662765,0.6096256684491979,0.3713355048859935
0.41999999999999993,0.2751842751842752,0.5989304812834224,0.37710437710437705
0.42499999999999993,0.27735368956743,0.5828877005347594,0.3758620689655172
0.42999999999999994,0.28083989501312334,0.5721925133689839,0.37676056338028163
0.43499999999999994,0.28846153846153844,0.5614973262032086,0.3811252268602541
0.43999999999999995,0.29512893982808025,0.5508021390374331,0.3843283582089552
0.44499999999999995,0.29819277108433734,0.5294117647058824,0.3815028901734103
0.4499999999999999,0.310126582278481,0.5240641711229946,0.38966202783300197
0.4549999999999999,0.3202614379084967,0.5240641711229946,0.39756592292089243
0.4599999999999999,0.3254237288135593,0.5133689839572193,0.39834024896265563
0.4649999999999999,0.33214285714285713,0.49732620320855614,0.3982869379014989
0.4699999999999999,0.3382899628252788,0.48663101604278075,0.3991228070175438
0.4749999999999999,0.3473282442748092,0.48663101604278075,0.4053452115812918
0.4799999999999999,0.3557312252964427,0.48128342245989303,0.40909090909090906
0.48499999999999993,0.35655737704918034,0.46524064171123,0.4037122969837587
0.48999999999999994,0.3601694915254237,0.45454545454545453,0.40189125295508277
0.49499999999999994,0.3672566371681416,0.44385026737967914,0.40193704600484265
0.49999999999999994,0.3744292237442922,0.4385026737967914,0.40394088669950734
